 38.5623 C 	 2116686071649886 ns 
 38.5312 C 	 2116686087421399 ns 
 39.8990 C 	 2116686099577941 ns 
 37.7540 C 	 2116686114109703 ns 
 37.9716 C 	 2116686130980116 ns 
 37.8006 C 	 2116686148032059 ns 
 39.1684 C 	 2116686159855300 ns 
 37.8628 C 	 2116686177070053 ns 
 37.9716 C 	 2116686192998616 ns 
 38.2359 C 	 2116686204932498 ns 
 38.6555 C 	 2116686220044280 ns 
 37.5986 C 	 2116686236467453 ns 
 39.6969 C 	 2116686248630595 ns 
 38.3757 C 	 2116686265316777 ns 
 38.1892 C 	 2116686279131420 ns 
 37.1634 C 	 2116686293763262 ns 
 38.0804 C 	 2116686311029315 ns 
 38.9508 C 	 2116686323374947 ns 
 38.2359 C 	 2116686339337589 ns 
 37.5986 C 	 2116686351603901 ns 
 36.9769 C 	 2116686367514254 ns 
 38.6089 C 	 2116686381431106 ns 
 38.2825 C 	 2116686396693459 ns 
 37.0546 C 	 2116686412641461 ns 
 38.3602 C 	 2116686425449993 ns 
 37.8784 C 	 2116686439861906 ns 
 39.0285 C 	 2116686455574048 ns 
 38.1581 C 	 2116686467435750 ns 
 37.6297 C 	 2116686483694793 ns 
 37.6608 C 	 2116686495786685 ns 
 38.4224 C 	 2116686511635927 ns 
 38.1271 C 	 2116686527692710 ns 
 37.5520 C 	 2116686541851992 ns 
 38.4845 C 	 2116686557749444 ns 
 38.9819 C 	 2116686569580246 ns 
 38.1892 C 	 2116686583872639 ns 
 39.0130 C 	 2116686599812901 ns 
 38.5623 C 	 2116686612327613 ns 
 38.0493 C 	 2116686629043136 ns 
 37.7229 C 	 2116686640890228 ns 
 37.1789 C 	 2116686653250740 ns 
 38.8265 C 	 2116686670671983 ns 
 37.6141 C 	 2116686682613005 ns 
 38.3447 C 	 2116686698772507 ns 
 37.2722 C 	 2116686711244409 ns 
 38.9353 C 	 2116686723162601 ns 
 39.8523 C 	 2116686739611544 ns 
 38.5778 C 	 2116686752081316 ns 
 38.2825 C 	 2116686768032018 ns 
 37.4742 C 	 2116686781931711 ns 
 38.1581 C 	 2116686794335723 ns 
 37.6452 C 	 2116686810139785 ns 
 37.5364 C 	 2116686824677307 ns 
 38.4845 C 	 2116686840626480 ns 
 38.0027 C 	 2116686852494002 ns 
 38.3447 C 	 2116686868557174 ns 
 39.4948 C 	 2116686886038027 ns 
 38.5001 C 	 2116686900862290 ns 
 38.5623 C 	 2116686917056562 ns 
 38.9819 C 	 2116686929024644 ns 
 40.0078 C 	 2116686941354706 ns 
 38.8887 C 	 2116686957748179 ns 
 37.5364 C 	 2116686969583241 ns 
 39.0907 C 	 2116686986121733 ns 
 37.1478 C 	 2116686998451465 ns 
