 40.2098 C 	 2116686071599936 ns 
 38.7488 C 	 2116686087377179 ns 
 39.8990 C 	 2116686099534621 ns 
 38.8731 C 	 2116686114066113 ns 
 38.0027 C 	 2116686130935986 ns 
 38.3447 C 	 2116686147987719 ns 
 39.0752 C 	 2116686159811980 ns 
 38.2980 C 	 2116686177024483 ns 
 39.4016 C 	 2116686192910686 ns 
 38.4845 C 	 2116686204885608 ns 
 38.9819 C 	 2116686219999910 ns 
 38.7332 C 	 2116686236423683 ns 
 38.4845 C 	 2116686248587755 ns 
 38.0960 C 	 2116686265273007 ns 
 39.0907 C 	 2116686279088490 ns 
 38.6400 C 	 2116686293719012 ns 
 39.1063 C 	 2116686310983355 ns 
 39.7902 C 	 2116686323331477 ns 
 39.5881 C 	 2116686339292349 ns 
 38.5778 C 	 2116686351557551 ns 
 38.9508 C 	 2116686367471204 ns 
 38.7021 C 	 2116686381386676 ns 
 39.2772 C 	 2116686396650109 ns 
 39.2151 C 	 2116686412598321 ns 
 39.5104 C 	 2116686425406283 ns 
 39.8368 C 	 2116686439818915 ns 
 39.7746 C 	 2116686455529858 ns 
 38.7177 C 	 2116686467392760 ns 
 38.2203 C 	 2116686483651113 ns 
 39.3550 C 	 2116686495741744 ns 
 39.3860 C 	 2116686511594137 ns 
 39.2151 C 	 2116686527648700 ns 
 39.0441 C 	 2116686541809512 ns 
 38.8576 C 	 2116686557707504 ns 
 39.5415 C 	 2116686569537346 ns 
 39.0285 C 	 2116686583829469 ns 
 40.1632 C 	 2116686599767691 ns 
 38.2203 C 	 2116686612284503 ns 
 38.9819 C 	 2116686628999396 ns 
 37.6141 C 	 2116686640847508 ns 
 38.3136 C 	 2116686653207630 ns 
 39.3239 C 	 2116686670628333 ns 
 37.9250 C 	 2116686682570315 ns 
 39.3083 C 	 2116686698729487 ns 
 37.8784 C 	 2116686711200429 ns 
 38.9042 C 	 2116686723119461 ns 
 39.5726 C 	 2116686739567744 ns 
 38.9508 C 	 2116686752038806 ns 
 37.8162 C 	 2116686767989118 ns 
 38.9197 C 	 2116686781888991 ns 
 39.4482 C 	 2116686794292463 ns 
 39.2928 C 	 2116686810096105 ns 
 37.6918 C 	 2116686824633357 ns 
 38.8576 C 	 2116686840581630 ns 
 39.2772 C 	 2116686852450622 ns 
 37.9716 C 	 2116686868512744 ns 
 38.7332 C 	 2116686885994257 ns 
 38.6244 C 	 2116686900819270 ns 
 39.3550 C 	 2116686917004272 ns 
 38.6089 C 	 2116686928981084 ns 
 39.6036 C 	 2116686941311476 ns 
 40.3342 C 	 2116686957704439 ns 
 37.5675 C 	 2116686969539201 ns 
 38.0183 C 	 2116686986077873 ns 
 38.1271 C 	 2116686998409075 ns 
 38.7488 C 	 2116687010024147 ns 
 38.7332 C 	 2116687025802590 ns 
 39.2617 C 	 2116687038304552 ns 
 40.9559 C 	 2116687054008834 ns 
 38.7021 C 	 2116687066098086 ns 
 39.4016 C 	 2116687082076599 ns 
 39.5570 C 	 2116687094710951 ns 
 39.0907 C 	 2116687110324843 ns 
 38.7021 C 	 2116687122734195 ns 
 39.4482 C 	 2116687134910357 ns 
