 39.1373 C 	 2118500179050545 ns 
 38.2825 C 	 2118500191557277 ns 
 39.4793 C 	 2118500203723479 ns 
 38.7332 C 	 2118500220086922 ns 
 38.1581 C 	 2118500231784344 ns 
 38.9353 C 	 2118500248526446 ns 
 37.2877 C 	 2118500262421069 ns 
 37.7851 C 	 2118500278944441 ns 
 38.3913 C 	 2118500290904963 ns 
 37.2411 C 	 2118500306997506 ns 
 37.6141 C 	 2118500320772008 ns 
 38.7799 C 	 2118500334876060 ns 
 38.2048 C 	 2118500348772332 ns 
 37.1789 C 	 2118500362966505 ns 
 38.3913 C 	 2118500380985018 ns 
 38.0493 C 	 2118500393002720 ns 
 38.5312 C 	 2118500404884401 ns 
 38.4068 C 	 2118500421576944 ns 
 39.3705 C 	 2118500434134016 ns 
 38.8109 C 	 2118500445973218 ns 
 38.5001 C 	 2118500461175781 ns 
 37.4587 C 	 2118500477079743 ns 
 37.6452 C 	 2118500489427475 ns 
 37.4742 C 	 2118500501707377 ns 
 37.2877 C 	 2118500516627099 ns 
 38.5312 C 	 2118500533305332 ns 
 38.5001 C 	 2118500545710964 ns 
 38.0804 C 	 2118500557610886 ns 
 38.1271 C 	 2118500575632909 ns 
 37.6918 C 	 2118500590675991 ns 
 39.2617 C 	 2118500606052884 ns 
 38.4535 C 	 2118500621911906 ns 
 38.7488 C 	 2118500638144009 ns 
 38.7332 C 	 2118500652787521 ns 
 37.9094 C 	 2118500670663894 ns 
 39.3394 C 	 2118500682758006 ns 
 37.7385 C 	 2118500698845779 ns 
 37.9872 C 	 2118500711708821 ns 
 38.0493 C 	 2118500727447033 ns 
 37.7696 C 	 2118500743684896 ns 
 39.4171 C 	 2118500758676948 ns 
 38.4224 C 	 2118500776760321 ns 
 38.3291 C 	 2118500789761543 ns 
 38.5623 C 	 2118500806263706 ns 
 37.9561 C 	 2118500820748908 ns 
 39.1063 C 	 2118500837384091 ns 
 38.6711 C 	 2118500849860103 ns 
 37.9716 C 	 2118500864514265 ns 
 37.3810 C 	 2118500880773938 ns 
 37.7229 C 	 2118500893415430 ns 
 38.3447 C 	 2118500909215263 ns 
 38.3913 C 	 2118500923518905 ns 
 37.7851 C 	 2118500941352078 ns 
 39.3083 C 	 2118500953277470 ns 
 38.5156 C 	 2118500969678502 ns 
 38.6244 C 	 2118500982171794 ns 
 38.3602 C 	 2118500994031546 ns 
 38.2203 C 	 2118501008005489 ns 
 39.4638 C 	 2118501024210021 ns 
 39.1218 C 	 2118501038571173 ns 
 36.9458 C 	 2118501050486275 ns 
 37.8628 C 	 2118501068478568 ns 
 37.8939 C 	 2118501080684760 ns 
 37.2877 C 	 2118501092676092 ns 
 37.8006 C 	 2118501108898925 ns 
 37.6141 C 	 2118501121415137 ns 
 38.2514 C 	 2118501137356179 ns 
 37.9094 C 	 2118501149626901 ns 
 37.8628 C 	 2118501161744383 ns 
 38.0960 C 	 2118501175603695 ns 
 37.2566 C 	 2118501190422648 ns 
 37.7385 C 	 2118501206559260 ns 
 38.7643 C 	 2118501221690483 ns 
 37.6763 C 	 2118501236476375 ns 
 39.2306 C 	 2118501252856138 ns 
 38.6244 C 	 2118501268849470 ns 
 38.4068 C 	 2118501280920932 ns 
 39.4793 C 	 2118501297349025 ns 
 38.5933 C 	 2118501313609868 ns 
 39.0752 C 	 2118501327502960 ns 
 38.3291 C 	 2118501339457422 ns 
 37.8473 C 	 2118501355542344 ns 
 38.1271 C 	 2118501367688476 ns 
 38.5001 C 	 2118501380206368 ns 
 38.2203 C 	 2118501395666811 ns 
 38.3757 C 	 2118501407886503 ns 
 37.8939 C 	 2118501423737605 ns 
 39.7902 C 	 2118501436201137 ns 
 38.5778 C 	 2118501452123310 ns 
 38.8420 C 	 2118501464652542 ns 
 38.2669 C 	 2118501480768965 ns 
 37.8784 C 	 2118501493412527 ns 
 38.6866 C 	 2118501505695969 ns 
 38.9353 C 	 2118501521660801 ns 
 37.2100 C 	 2118501533590873 ns 
 38.2514 C 	 2118501546048135 ns 
 38.1892 C 	 2118501559700987 ns 
 38.5933 C 	 2118501576036680 ns 
 38.3913 C 	 2118501588414022 ns 
 39.0907 C 	 2118501605654215 ns 
 38.6400 C 	 2118501617812647 ns 
 38.9508 C 	 2118501634212719 ns 
 38.2980 C 	 2118501650669372 ns 
 37.1168 C 	 2118501667013465 ns 
 37.8939 C 	 2118501679363267 ns 
 38.5312 C 	 2118501691002398 ns 
 37.1168 C 	 2118501707903111 ns 
 37.7851 C 	 2118501720361753 ns 
 37.8939 C 	 2118501732353355 ns 
 38.8576 C 	 2118501748402278 ns 
 38.9819 C 	 2118501760523810 ns 
 37.5520 C 	 2118501772503352 ns 
 38.9975 C 	 2118501787728084 ns 
 38.0183 C 	 2118501799914806 ns 
 38.0338 C 	 2118501815894459 ns 
 38.0649 C 	 2118501827805300 ns 
 38.7643 C 	 2118501843827163 ns 
 37.9561 C 	 2118501856206185 ns 
 38.2514 C 	 2118501868266967 ns 
 38.1271 C 	 2118501883561329 ns 
 38.2359 C 	 2118501895756301 ns 
 38.0027 C 	 2118501911810384 ns 
 37.4587 C 	 2118501923657476 ns 
 37.4587 C 	 2118501939367698 ns 
 39.4948 C 	 2118501955606101 ns 
 39.6192 C 	 2118501967600703 ns 
 38.5312 C 	 2118501983775806 ns 
 39.6036 C 	 2118501995887948 ns 
 38.5778 C 	 2118502011829380 ns 
 38.2669 C 	 2118502023796982 ns 
 37.0701 C 	 2118502039497995 ns 
 38.6866 C 	 2118502051746726 ns 
 39.3239 C 	 2118502063533908 ns 
 38.3602 C 	 2118502079662511 ns 
 36.8836 C 	 2118502091698153 ns 
 38.6400 C 	 2118502107310905 ns 
 38.2514 C 	 2118502119842897 ns 
 38.3291 C 	 2118502131654559 ns 
 38.4845 C 	 2118502147800862 ns 
 37.5209 C 	 2118502159822734 ns 
 39.2462 C 	 2118502175512406 ns 
 39.7124 C 	 2118502187624218 ns 
 37.7074 C 	 2118502199475150 ns 
 38.9042 C 	 2118502215641973 ns 
 38.5467 C 	 2118502227827495 ns 
 37.6918 C 	 2118502239711607 ns 
 38.6244 C 	 2118502255836429 ns 
 37.7540 C 	 2118502267746251 ns 
 38.1892 C 	 2118502283716214 ns 
 37.9094 C 	 2118502295635816 ns 
 37.7540 C 	 2118502311284808 ns 
 38.5623 C 	 2118502327419441 ns 
 38.6555 C 	 2118502339612223 ns 
 38.4535 C 	 2118502355502115 ns 
 38.7332 C 	 2118502367630007 ns 
 38.4690 C 	 2118502383814830 ns 
 39.0907 C 	 2118502395630812 ns 
 38.4224 C 	 2118502411450774 ns 
 37.9250 C 	 2118502423557126 ns 
 38.4224 C 	 2118502435271498 ns 
 37.3344 C 	 2118502451109341 ns 
 37.3033 C 	 2118502463328673 ns 
 37.5830 C 	 2118502479236565 ns 
 36.7282 C 	 2118502491266027 ns 
 39.5570 C 	 2118502503286549 ns 
 38.8109 C 	 2118502521586102 ns 
 38.0493 C 	 2118502533635154 ns 
 38.8420 C 	 2118502549252467 ns 
 36.8681 C 	 2118502565415719 ns 
 37.5364 C 	 2118502577515111 ns 
 37.7540 C 	 2118502593498514 ns 
 38.8576 C 	 2118502605330366 ns 
 38.0493 C 	 2118502621162658 ns 
 38.8420 C 	 2118502633275580 ns 
 38.3291 C 	 2118502645494642 ns 
 37.6918 C 	 2118502661681265 ns 
 39.3394 C 	 2118502673933837 ns 
 38.8887 C 	 2118502689706129 ns 
