 38.7488 C 	 2119261589768181 ns 
 38.9975 C 	 2119261601924483 ns 
 38.5778 C 	 2119261617186415 ns 
 39.0907 C 	 2119261633233328 ns 
 38.9353 C 	 2119261648108170 ns 
 37.8006 C 	 2119261664443113 ns 
 38.2048 C 	 2119261680644735 ns 
 38.1271 C 	 2119261698174158 ns 
 39.0752 C 	 2119261711956851 ns 
 38.5156 C 	 2119261729712803 ns 
 39.3705 C 	 2119261745893096 ns 
 39.3083 C 	 2119261761949939 ns 
 38.2203 C 	 2119261778311461 ns 
 38.5312 C 	 2119261792486733 ns 
 38.0338 C 	 2119261808414036 ns 
 38.0493 C 	 2119261824957569 ns 
 38.9664 C 	 2119261837502251 ns 
 38.7954 C 	 2119261853296833 ns 
 38.3291 C 	 2119261866559025 ns 
 38.9042 C 	 2119261882073378 ns 
 38.3136 C 	 2119261897708990 ns 
 38.7332 C 	 2119261911537823 ns 
 39.3705 C 	 2119261924619565 ns 
 37.7696 C 	 2119261941222317 ns 
 38.4535 C 	 2119261957165790 ns 
 38.9508 C 	 2119261970062522 ns 
 38.5312 C 	 2119261982846544 ns 
 37.6297 C 	 2119261999619097 ns 
 38.4535 C 	 2119262011969199 ns 
 37.8162 C 	 2119262026176751 ns 
 38.5778 C 	 2119262038294023 ns 
 38.7177 C 	 2119262055977856 ns 
 38.7488 C 	 2119262068378238 ns 
 38.5467 C 	 2119262080417600 ns 
 38.2669 C 	 2119262094990762 ns 
 38.0960 C 	 2119262110745265 ns 
 37.9716 C 	 2119262123053667 ns 
 38.2980 C 	 2119262135225089 ns 
 38.5933 C 	 2119262149393041 ns 
 40.2720 C 	 2119262167153974 ns 
 38.5933 C 	 2119262179603706 ns 
 39.1995 C 	 2119262191449178 ns 
 37.9405 C 	 2119262208127590 ns 
 37.9250 C 	 2119262220324122 ns 
 39.5881 C 	 2119262232280354 ns 
 38.2825 C 	 2119262247851917 ns 
 38.8887 C 	 2119262260156239 ns 
 38.0493 C 	 2119262277084611 ns 
 38.9975 C 	 2119262289843284 ns 
 37.2100 C 	 2119262302230916 ns 
 39.0441 C 	 2119262316945948 ns 
 39.3394 C 	 2119262335591911 ns 
 37.0701 C 	 2119262348142413 ns 
 38.9197 C 	 2119262365459616 ns 
 39.1373 C 	 2119262377233838 ns 
 38.7021 C 	 2119262393630010 ns 
 37.7851 C 	 2119262405613182 ns 
 39.5415 C 	 2119262421630245 ns 
 39.1218 C 	 2119262434149067 ns 
 38.9508 C 	 2119262450448429 ns 
 38.1892 C 	 2119262462422361 ns 
 39.1063 C 	 2119262474712373 ns 
 38.9353 C 	 2119262491213516 ns 
 39.3239 C 	 2119262503186128 ns 
 38.5156 C 	 2119262519438480 ns 
 38.3757 C 	 2119262531700142 ns 
 39.5726 C 	 2119262543647374 ns 
 38.3136 C 	 2119262557012707 ns 
 37.7540 C 	 2119262573706989 ns 
 38.9664 C 	 2119262585556211 ns 
 39.3860 C 	 2119262601035644 ns 
 38.1892 C 	 2119262613252636 ns 
 39.1373 C 	 2119262625625568 ns 
 38.2203 C 	 2119262641319530 ns 
 38.5001 C 	 2119262653216602 ns 
 39.9300 C 	 2119262668999395 ns 
 40.0233 C 	 2119262681279927 ns 
 38.7799 C 	 2119262696936929 ns 
 38.8420 C 	 2119262709653601 ns 
 38.7643 C 	 2119262723826623 ns 
 39.5104 C 	 2119262735472475 ns 
 38.5467 C 	 2119262753960338 ns 
 38.9197 C 	 2119262767108140 ns 
 37.6918 C 	 2119262778848402 ns 
 39.0285 C 	 2119262794955585 ns 
 40.1632 C 	 2119262807141827 ns 
 38.9042 C 	 2119262823519759 ns 
 40.1787 C 	 2119262835829511 ns 
 38.5001 C 	 2119262847895153 ns 
 38.8731 C 	 2119262863652686 ns 
 38.4068 C 	 2119262878009998 ns 
 40.5362 C 	 2119262893975251 ns 
 39.3550 C 	 2119262906236253 ns 
 37.8162 C 	 2119262919359965 ns 
 39.1063 C 	 2119262935577037 ns 
 39.9300 C 	 2119262948145059 ns 
 38.7643 C 	 2119262962446092 ns 
 39.0285 C 	 2119262978512654 ns 
 39.0441 C 	 2119262994541807 ns 
 38.2669 C 	 2119263008245209 ns 
 38.3291 C 	 2119263024902412 ns 
 37.9872 C 	 2119263037156634 ns 
 40.0388 C 	 2119263053294236 ns 
 39.1529 C 	 2119263066499459 ns 
 40.1943 C 	 2119263082692981 ns 
 38.1115 C 	 2119263095145773 ns 
 39.3550 C 	 2119263106940935 ns 
 39.5104 C 	 2119263124675348 ns 
 38.7021 C 	 2119263138347700 ns 
