 41.6864 C 	 2034717433130417 ns 
 41.3755 C 	 2034717454698081 ns 
 39.6036 C 	 2034717470302613 ns 
 42.6190 C 	 2034717482322865 ns 
 41.9506 C 	 2034717493777947 ns 
 41.9351 C 	 2034717506130599 ns 
 41.5154 C 	 2034717518034451 ns 
 42.9920 C 	 2034717530167803 ns 
 43.3340 C 	 2034717542813225 ns 
 41.7175 C 	 2034717554380387 ns 
 41.3755 C 	 2034717567025959 ns 
 41.2978 C 	 2034717578748521 ns 
 42.2460 C 	 2034717594886303 ns 
 41.1113 C 	 2034717607228125 ns 
 42.4169 C 	 2034717619311047 ns 
 40.6606 C 	 2034717631246819 ns 
 43.1008 C 	 2034717643521441 ns 
 43.8003 C 	 2034717655193543 ns 
 43.4272 C 	 2034717667420045 ns 
 41.5310 C 	 2034717679223937 ns 
 41.9973 C 	 2034717691258259 ns 
 41.3911 C 	 2034717702620100 ns 
 41.5776 C 	 2034717718074363 ns 
 42.1527 C 	 2034717729816875 ns 
 41.8418 C 	 2034717741501427 ns 
 41.6864 C 	 2034717753882759 ns 
 43.7070 C 	 2034717765629711 ns 
 42.1993 C 	 2034717777807403 ns 
 40.8626 C 	 2034717789627164 ns 
 41.3600 C 	 2034717801115156 ns 
 41.2823 C 	 2034717818227699 ns 
 40.7538 C 	 2034717829869201 ns 
 42.9609 C 	 2034717841697423 ns 
 41.9817 C 	 2034717854216065 ns 
 41.4222 C 	 2034717865791087 ns 
 41.9196 C 	 2034717877989389 ns 
 41.8729 C 	 2034717889480471 ns 
 41.0491 C 	 2034717901736613 ns 
 41.8108 C 	 2034717913234234 ns 
 41.6242 C 	 2034717925473516 ns 
 42.8832 C 	 2034717937886918 ns 
 42.6190 C 	 2034717949301350 ns 
 41.2978 C 	 2034717961207182 ns 
 42.4014 C 	 2034717973484924 ns 
 43.0231 C 	 2034717990591317 ns 
 42.9609 C 	 2034718006683709 ns 
 43.0076 C 	 2034718018139631 ns 
 41.4999 C 	 2034718030390853 ns 
 41.5931 C 	 2034718042809505 ns 
 41.0025 C 	 2034718054291407 ns 
 42.2149 C 	 2034718066233149 ns 
 41.8729 C 	 2034718077582061 ns 
