 40.8471 C 	 2044745267904602 ns 
 41.1113 C 	 2044745287283075 ns 
 39.8834 C 	 2044745303184727 ns 
 40.9559 C 	 2044745328038321 ns 
 40.3497 C 	 2044745340016663 ns 
 40.3342 C 	 2044745352474645 ns 
 40.0233 C 	 2044745365436177 ns 
 41.0958 C 	 2044745383356530 ns 
 40.3808 C 	 2044745395994182 ns 
 39.6036 C 	 2044745408654094 ns 
 40.2254 C 	 2044745420563826 ns 
 41.2357 C 	 2044745433464578 ns 
 41.1113 C 	 2044745445896640 ns 
 39.6036 C 	 2044745458389422 ns 
 40.0233 C 	 2044745475652445 ns 
 41.0181 C 	 2044745488688497 ns 
 39.8679 C 	 2044745500881369 ns 
 39.1218 C 	 2044745513669591 ns 
 40.3497 C 	 2044745525560633 ns 
 40.2564 C 	 2044745542292776 ns 
 40.9714 C 	 2044745554843248 ns 
 40.8160 C 	 2044745567944970 ns 
 41.1113 C 	 2044745579853742 ns 
 40.8471 C 	 2044745592936504 ns 
 40.8937 C 	 2044745605010816 ns 
 40.5051 C 	 2044745617437178 ns 
 39.9611 C 	 2044745635031701 ns 
 39.2306 C 	 2044745647037133 ns 
 39.6192 C 	 2044745659335695 ns 
 39.7902 C 	 2044745671604947 ns 
 40.0233 C 	 2044745683501179 ns 
 39.8212 C 	 2044745696422361 ns 
 40.1632 C 	 2044745711732233 ns 
 40.9559 C 	 2044745724075855 ns 
 40.6606 C 	 2044745736580277 ns 
 39.3239 C 	 2044745748950569 ns 
 39.4171 C 	 2044745761083681 ns 
 40.8782 C 	 2044745773665713 ns 
 40.1321 C 	 2044745785991635 ns 
 39.4016 C 	 2044745798314497 ns 
 40.7538 C 	 2044745810915939 ns 
 40.9093 C 	 2044745823313471 ns 
 40.2875 C 	 2044745835619323 ns 
 40.7383 C 	 2044745847800105 ns 
 40.8315 C 	 2044745860482127 ns 
 39.8990 C 	 2044745872893759 ns 
 41.7019 C 	 2044745884969421 ns 
 40.3186 C 	 2044745897172793 ns 
 40.1943 C 	 2044745910130515 ns 
 40.5984 C 	 2044745922366227 ns 
 41.4999 C 	 2044745934587629 ns 
 40.3186 C 	 2044745946455631 ns 
 40.0233 C 	 2044745959177433 ns 
 41.2046 C 	 2044745976160496 ns 
 40.1166 C 	 2044745992347988 ns 
 40.6606 C 	 2044746004209000 ns 
 41.7019 C 	 2044746017079752 ns 
 39.4948 C 	 2044746029572744 ns 
 41.1735 C 	 2044746041380476 ns 
 41.5310 C 	 2044746053665568 ns 
 40.3031 C 	 2044746066269470 ns 
 40.5984 C 	 2044746078155682 ns 
 40.2875 C 	 2044746095737845 ns 
 41.2046 C 	 2044746107578967 ns 
 39.7902 C 	 2044746125026190 ns 
 41.0181 C 	 2044746137267242 ns 
 41.3755 C 	 2044746149082534 ns 
 39.6192 C 	 2044746162188846 ns 
 40.9714 C 	 2044746173996938 ns 
 40.2875 C 	 2044746186644610 ns 
 40.3497 C 	 2044746199490912 ns 
 41.2512 C 	 2044746212190514 ns 
 41.0491 C 	 2044746224322186 ns 
 40.3963 C 	 2044746236760608 ns 
 39.7902 C 	 2044746252079990 ns 
 39.9922 C 	 2044746264219552 ns 
 39.9611 C 	 2044746276452984 ns 
 40.6761 C 	 2044746288679426 ns 
 40.2254 C 	 2044746301240668 ns 
 40.2409 C 	 2044746313496600 ns 
 40.3031 C 	 2044746327334852 ns 
 39.9300 C 	 2044746339653304 ns 
 41.3600 C 	 2044746352133066 ns 
 40.4740 C 	 2044746363937228 ns 
 41.8263 C 	 2044746379250281 ns 
 40.7227 C 	 2044746392375253 ns 
 41.1579 C 	 2044746404475365 ns 
 41.4377 C 	 2044746416713147 ns 
 39.8368 C 	 2044746429073119 ns 
 40.4740 C 	 2044746441391631 ns 
 40.3497 C 	 2044746454084423 ns 
 40.2254 C 	 2044746466807755 ns 
 42.2304 C 	 2044746479747777 ns 
 40.0855 C 	 2044746491701999 ns 
 41.2667 C 	 2044746504310971 ns 
 41.2823 C 	 2044746517116173 ns 
 40.2254 C 	 2044746528880885 ns 
